AUS	41.8	0.132	0.072	29
CAN	36.4	-0.528	-0.328	29
CHN	31.7	0.586	0.174	23
DEU	39.0	-0.038	-0.023	28
FRA	41.3	-0.051	-0.033	28
GBR	45.1	-0.414	-0.363	29
HKG	39.7	0.019	0.009	29
IDN	31.3	0.232	0.088	26
JPN	30.3	0.851	0.542	29
KOR	33.1	-0.097	-0.044	28
MYS	27.5	1.496	0.695	29
NZL	41.9	0.826	0.216	28
PHL	30.3	-0.638	-0.191	28
SGP	35.1	0.335	0.118	29
THA	35.7	0.937	0.380	28
TWN	28.6	1.600	0.673	26
